,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Return_A,Return_B,Strategy_Return,Cumulative_Return
2023-05-25,220.58241271972656,265.83929443359375,-88.21294230607492,-0.1787764586138202,0,0,-0.00992229006249179,-0.014943621467910062,-0.0,1.4272772314696105
2023-05-26,223.1436309814453,271.4759826660156,-92.19922541208672,-0.4284071513379018,0,0,0.011611162604214798,0.021203367411998242,0.0,1.4272772314696105
2023-05-30,222.46194458007812,271.0773010253906,-92.41780857274836,-0.44209535771027236,0,0,-0.0030549220623906637,-0.0014685705774403202,-0.0,1.4272772314696105
2023-05-31,221.81919860839844,264.6717529296875,-85.6199558828875,-0.016397375184390474,0,0,-0.002889240103034041,-0.023629968542084434,-0.0,1.4272772314696105
2023-06-01,228.7431182861328,269.2845458984375,-84.05419458230563,0.08165438574431617,0,0,0.03121424890709279,0.017428353867348312,0.0,1.4272772314696105
2023-06-02,234.5277099609375,276.3343505859375,-86.45856137572662,-0.0689128801127628,0,0,0.025288593240076374,0.026179759644130884,0.0,1.4272772314696105
2023-06-05,233.4564971923828,273.6824645996094,-84.4493789890771,0.05690698206208829,0,0,-0.0045675317800745185,-0.009596657023294708,-0.0,1.4272772314696105
2023-06-06,234.01158142089844,276.3903503417969,-87.03973848027078,-0.10530759653015392,0,0,0.0023776773625545644,0.009894261023076778,0.0,1.4272772314696105
2023-06-07,234.4595184326172,281.7127380371094,-92.77421555244712,-0.4644144250890347,0,0,0.0019141659955412837,0.019256778280177356,0.0,1.4272772314696105
2023-06-08,236.88436889648438,281.14312744140625,-89.68771306869564,-0.27113017190804684,0,0,0.010342299088889728,-0.0020219554134186524,0.0,1.4272772314696105
2023-06-09,234.4595184326172,277.65093994140625,-88.05608542169216,-0.16895370100587268,0,0,-0.010236430859339674,-0.012421386685782743,-0.0,1.4272772314696105
2023-06-12,238.50091552734375,280.92840576171875,-87.82174861775025,-0.15427896337608768,0,0,0.017237078373885772,0.011804266972782917,0.0,1.4272772314696105
2023-06-13,240.72128295898438,280.2000732421875,-84.75535991064436,0.037745716447011184,0,0,0.009309680957539479,-0.0025925912246447247,0.0,1.4272772314696105
2023-06-14,239.41632080078125,279.8546142578125,-85.65904155102857,-0.018845014289331132,0,0,-0.005421050196153465,-0.0012329011208944696,-0.0,1.4272772314696105
2023-06-15,242.9416046142578,282.01153564453125,-84.63920865967265,0.045019388805381595,0,0,0.014724492472716344,0.007707292561314416,0.0,1.4272772314696105
2023-06-16,241.4029541015625,280.4801940917969,-84.3990733858277,0.060057240649620994,0,0,-0.00633341709888835,-0.005430067068832978,-0.0,1.4272772314696105
2023-06-20,241.87039184570312,281.44195556640625,-85.04880485715205,0.01936948392036957,0,0,0.0019363381275938618,0.003428981777924056,0.0,1.4272772314696105
2023-06-21,240.8089141845703,280.77899169921875,-85.34019259168605,0.00112207898484878,0,0,-0.0043886217450292975,-0.002355597145611288,-0.0,1.4272772314696105
2023-06-22,239.8350830078125,281.2271423339844,-86.83458952852965,-0.09246067282382557,0,0,-0.0040439997001581185,0.0015960974574824593,0.0,1.4272772314696105
2023-06-23,240.57518005371094,280.8817138671875,-85.6932474136213,-0.02098706816437323,0,0,0.003085858151429477,-0.0012282899293790672,0.0,1.4272772314696105
2023-06-26,245.1230010986328,287.49267578125,-88.8246309635827,-0.21708188229906905,0,0,0.01890394945940188,0.02353646245974006,0.0,1.4272772314696105
2023-06-27,249.97262573242188,292.95513916015625,-90.32013044697396,-0.3107336782401175,0,0,0.01978445356842573,0.019000356666694973,0.0,1.4272772314696105
2023-06-28,249.32015991210938,286.2041015625,-83.13068163911794,0.13948700064312258,0,0,-0.0026101490849278486,-0.023044612280945564,-0.0,1.4272772314696105
2023-06-29,254.45230102539062,287.42730712890625,-79.41939968795845,0.3718964556979145,0,0,0.020584541238423792,0.004273892511422073,0.0,1.4272772314696105
2023-06-30,258.571533203125,290.0605163574219,-78.35886799432353,0.4383095162601875,0,0,0.01618862223345885,0.009161305008972942,0.0,1.4272772314696105
2023-07-03,257.218017578125,289.4815673828125,-79.0398842638869,0.3956626297731013,0,0,-0.0052345886967252175,-0.0019959592635351298,-0.0,1.4272772314696105
2023-07-05,252.00796508789062,290.20989990234375,-85.09595802958648,0.01641663817762891,0,0,-0.02025539477867999,0.0025159892773694015,0.0,1.4272772314696105
2023-07-06,250.6348419189453,282.01153564453125,-76.94597135498515,0.5267885222529255,0,0,-0.005448729243404782,-0.02824977459615008,-0.0,1.4272772314696105
2023-07-07,248.73590087890625,282.74920654296875,-79.70178100604181,0.35421305435113587,0,0,-0.0075765245785467394,0.0026157472486065814,0.0,1.4272772314696105
