,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Signal,Return_A,Return_B,Strategy_Return,Cumulative_Return,Transaction_Cost,Net_Return,Gross_Cumulative,Net_Cumulative
2022-03-01,245.7335662841797,287.528076171875,-88.25518639646947,-0.18142188576193308,0,0,EXIT,-0.02888337774828642,0.01399509798118359,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-02,250.24378967285156,293.92059326171875,-91.17042502789752,-0.363981182145544,0,0,EXIT,0.018354120101996996,0.022232670892363693,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-03,248.14736938476562,291.2181091308594,-90.12767603546621,-0.2986817173570547,0,0,EXIT,-0.008377511748949407,-0.009194606273991046,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-04,248.58006286621094,291.1283264160156,-89.59069215795876,-0.2650544877401495,0,0,EXIT,0.0017436956213483512,-0.0003083005899313651,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-07,233.63587951660156,289.79058837890625,-102.98097696528964,-1.1035865195433274,0,0,HOLD,-0.06011818959774151,-0.004595011600478149,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-08,230.65472412109375,284.37664794921875,-99.67337184991857,-0.8964562846228391,0,0,HOLD,-0.01275983552558746,-0.018682250724473715,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-09,232.44342041015625,286.50836181640625,-100.36084576674722,-0.9395075646056527,0,0,HOLD,0.007754865181618609,0.007496093236066814,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-10,228.44288635253906,287.1767883300781,-105.13781508777322,-1.2386529411422578,0,0,HOLD,-0.017210786395063682,0.002333008745134535,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,224.6347198486328,286.1379699707031,-107.73930413350314,-1.4015644793669964,0,0,HOLD,-0.01667010325736029,-0.0036173479250035667,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-14,228.5198211669922,287.55609130859375,-105.50147352031405,-1.2614261120425416,0,0,HOLD,0.017295195154948928,0.00495607534377851,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-15,233.14541625976562,296.7511291503906,-111.55671092404202,-1.6406197286278135,0,0,HOLD,0.020241548716219526,0.03197650169729549,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-16,235.01104736328125,298.891845703125,-112.17770742507099,-1.679508031994251,0,0,HOLD,0.008002006359142833,0.0072138446747054275,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-17,238.03065490722656,303.81439208984375,-114.87606366957345,-1.8484856285717852,0,0,HOLD,0.012848789781688907,0.016469323126359514,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-18,241.8869171142578,307.77069091796875,-115.61538506060276,-1.894783722831584,0,0,HOLD,0.016200695698351364,0.013022091550406456,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-21,236.3958282470703,297.5008239746094,-109.1771343784988,-1.4916048880716866,0,0,HOLD,-0.022701057720264095,-0.033368567074168354,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-22,240.57908630371094,297.8259582519531,-105.3715479328867,-1.253289857408956,0,0,HOLD,0.017695989339830742,0.001092885300282287,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-23,238.1460723876953,286.372802734375,-94.50073017965411,-0.5725329482661701,0,0,HOLD,-0.010113156357008268,-0.038455867261540155,-0.0,1.0,0.0,-0.0,0.0,0.0
2022-03-24,240.34828186035156,285.2257080078125,-90.96607087450866,-0.35118403063501247,0,0,EXIT,0.009247305448191856,-0.004005599399138804,0.0,1.0,0.0,0.0,0.0,0.0
